id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
165,Lady fingers,,341,347,1858,1949,0.05,15
166,Marrow bones on toast,,13,13,1887,1910,0,0
167,Fresh mushrooms on toast,,58,59,1891,1952,0.4,50
168,Farm Sausage,,6,6,1900,1955,0,0
169,Club sandwich,,641,659,1896,2928,0,40
170,Baked Stuffed Mullet & Sauce Pomard,,2,2,1900,1900,,
171,Thon marine,,43,43,1896,1957,0.25,0.5
172,Croquettes of sweetbreads,,7,7,1885,1900,1,1
173,Teal duck,,125,127,1889,1908,0.6,125
174,Demi-tasse,,852,887,1892,1979,0,15
175,Strawberry,,97,102,1865,1973,0,4.25
176,Oyster Bay asparagus,,271,279,1895,1941,0.15,75
177,"SMALL TENDERLOIN STEAK, A LA STANLEY",,3,3,1900,1900,0,0
178,Hoot Mon Mush,,5,5,1901,1901,0,0
179,Apollinoris,,4,4,1900,1900,0.62,0.62
180,Vve Cliquot,,4,4,1900,1900,7,7
181,Chicken broth,,402,413,1881,1971,0,50
182,Fruits in Season,,136,137,1889,1987,0,3.95
183,"Salt Codfish, Spanish Style",,3,3,1901,1901,0,0
184,Oatmeal Porridge,,163,163,1853,1962,0.15,0.15
185,Mashed Hominy,,5,5,1900,1900,0,0
186,Plain Omelette,,322,355,1881,1987,0,15
187,"Canape, Martha",,10,10,1900,1915,0.4,0.65
190,Puree of beans,,6,6,1900,1918,0.1,0.1
191,Fried Flounders,,11,11,1900,1901,0.15,15
192,Strawberry short cake,,278,283,1882,1987,0,125
193,Fried smelts,,148,148,1858,1960,0,2.5
194,Fried fish,,112,112,1856,1971,0,1.75
195,Oxford Sausage,,6,6,1900,1900,1.2,1.2
196,BUZZARD BAY OYSTERS,,62,62,1898,1907,0.2,0.6
197,Strained gumbo,,34,35,1895,1969,0.25,30
198,Bouillon in cup,,5,5,1890,1900,0.1,0.15
199,Queen olives,,691,708,1865,1965,0,15
200,Chow chow,,675,686,1865,1965,0,20
201,"Panfish, Meuniere",,1,1,1900,1900,0,0
202,German fried potatoes,,134,140,1898,1969,0.05,0.5
203,Ribs of prime beef,,141,143,1891,1921,0.25,50
204,"Calf's tongue, caper sauce",,2,2,1900,1900,0,0
208,Luncheon,,19,18,1900,1993,0.65,0.65
211,Assorted cakes,,1337,1361,1880,2012,0,30
212,"Scollops en caisse, Supreme",,2,2,1900,1900,0.4,0.4
213,Irish stew,,161,192,1864,1955,0,0.5
214,"Marrow on toast, Bordelaise",,5,5,1900,1900,0,0
215,Lobster salad,,1513,1568,1858,1995,0,100
216,Potato salad,,1306,1336,1881,1987,0,25
217,Chicken salad,,1819,1889,1858,1987,0,100
218,Spinach with egg,,211,217,1896,1965,0.1,20
219,Boiled potatoes,,2080,2135,1858,1974,0,20
220,Baba au rhum,,103,108,1882,1985,0,25
221,Hot buns,,10,10,1900,1901,0.1,0.1
222,Tongue,,693,734,1851,1965,0,95
223,Lemon ice cream,,134,134,1852,1981,0,25
224,Pickled lambs' tongues,,54,54,1895,1962,0.3,0.5
225,Blackberry tarts,,4,4,1881,1900,0.15,0.15
226,Apricots,,242,252,1883,2012,0,0.75
227,Red currant jam,,5,5,1900,1921,0.15,0.15
228,Chipped beef,,55,55,1892,1953,0,40
229,Turkey,,434,445,1851,1987,0,80
230,Crackers,,965,985,1854,1987,0,10
231,Chocolate,,1488,1566,1858,1987,0,30
232,Roast beef,,1224,1334,1851,1987,0,75
233,Corned beef,,821,879,1862,1985,0,50
234,Boned capon,,137,137,1892,1917,0.4,60
235,Lamb,,428,438,1865,1949,0,60
236,Cumberland ham,,66,66,1896,1938,0,0
237,Chicken,,678,818,1866,1985,0,125
238,Fried Eggs,,549,564,1856,1987,0,20
239,Broiled Ham,,623,636,1,1970,0,25
240,Roast veal,,69,73,1856,1957,0,20
241,Rolls,,431,494,1881,1989,0,2.5
242,Griddle cakes,,128,138,1858,1987,0,3.85
244,Porterhouse Steak,,260,266,1884,1962,0,5
245,Pommes de Terre a la Creme,,4,4,1900,1906,0.3,0.3
246,Tenderloin Steak,,588,611,1858,1980,0.15,80
247,Sirloin Steak,,912,929,1,1987,0,235
248,"Filet mignon, Lyonnaise",,2,2,1900,1900,0,0
249,All Kinds of Pies per cut,,2,2,1900,1900,0.05,0.05
251,Sandwiches of all Kinds,,2,2,1900,1900,0,0
252,Small Steak,,383,389,1892,1957,0,75
253,Hamburger Steak,,319,360,1893,1987,0,20
254,Veal Chops or Cutlets,,3,3,1900,1900,0.3,0.5
256,Pork Chops,,408,433,1853,1988,0,40
257,Ham & Eggs,,24,24,1881,1964,0,4.95
258,Bacon & Eggs,,26,26,1900,1957,0,4.75
259,Fried Liver,,29,31,1856,1961,0,10
260,German Pancake,,206,212,1889,1969,0.15,3.95
262,Oysters & Clams,,1,1,1900,1900,0,0
265,Stewed,,49,55,1,1918,0.1,15
266,Box Stew,,90,95,1892,1939,0.2,40
270,Hominy,,421,510,1,1969,0.1,0.35
271,Omelette a l'Oseille,,5,5,1901,1901,0,0
272,Eggs au Beurre Noir,,45,46,1896,1941,0.19,30
274,Smelts - Remoulade,,1,1,1901,1901,0,0
275,Sirloin Steak with Mushrooms,,231,233,1884,1939,0,75
276,Grilled Ham,,51,53,1892,1989,0,5.5
277,Calves Liver & Bacon,,18,18,1900,1958,0.4,2.75
278,Lamb Hash - en Bordure,,1,1,1901,1901,0,0
279,Mutton Chops - Mashed Potatoes,,1,1,1901,1901,0,0
280,Corn Cakes,,146,148,1,1953,0.02,0.55
281,Marmalade,,719,752,1888,1973,0,25
282,Jam,,248,267,1892,1981,0,1.25
283,Cocoa,,1636,1704,1865,1987,0,25
284,Oat Meal,,68,81,1880,1957,0.1,0.4
286,Scrambled Eggs,,571,586,1853,1987,0,28
287,Poached Eggs on Toast,,348,352,1892,1968,0,20
288,Broiled Fresh Mackerel,,120,132,1887,1962,0,2.5
290,Chicken Liver with Bacon,,2,2,1901,1901,0,0
291,Minced Veal a la Zingari,,4,4,1900,1901,0,0
293,Lyonnaise Potatoes,,727,745,1,1989,0,30
298,Baked Weakfish,,3,3,1900,1901,0.15,0.15
300,Half and Half Scallops & Oysters,,1,1,1900,1900,0,0
305,Pork Chops Piquante Sauce,,2,2,1901,1901,0,0
310,Broiled Kidney with Bacon,,2,2,1901,1901,0,0
315,Dry Toast,,719,743,1856,1981,0,10
316,Bunns,,5,5,1900,1901,0,0
317,Graham Muffins,,60,60,1897,1940,0.1,0.2
320,Hot Cakes,,32,32,1900,1969,0,0.5
321,Tea and Coffee,,42,42,1900,1937,0.1,0.1
322,"Ponche de huevo, sambayon, frolada, con pan",,4,4,1900,1900,0.25,0.25
323,Smelts Meuniere,,2,2,1900,1901,0,0
324,Findon Haddock,,31,31,1899,1905,0,0
326,Paysanne,,4,4,1900,1914,0.25,0.4
327,Boiled Whiting and Parsley Sauce,,1,1,1900,1900,0,0
328,Haricot Mutton,,11,11,1900,1910,0,0
329,Sausages and Mashed Potatoes,,2,2,1900,1915,0.25,0.25
331,Veal and Ham Pie,,50,50,1900,1971,0,1
332,Roast Lamb,,202,205,1851,1957,0,80
333,Fried Flounder,,28,29,1899,1937,0,0
334,Grillirte Kuken,,16,16,1899,1901,0,0
335,Fillet Steaks aux Champignon,,1,1,1901,1901,0,0
336,oatmeal with cream,,104,104,1897,1952,0.1,25
337,broiled shad,,119,125,1881,1940,0.25,60
338,Milk stew,,47,51,1894,1947,0.2,40
339,Boston Stew,,77,84,1900,1939,0.2,0.6
340,Raw on the Half Shell,,1,1,0,0,0,0
343,Beef Steak,,58,58,1865,1944,0,1
344,Saratoga Chips,,415,444,1881,1969,0.05,0.3
346,Grilled Mutton Chops,,35,35,1892,1910,,
347,Dried Hash,,23,23,1900,1901,0,0
348,Smelts,,93,95,1,1998,0.15,50
349,Tartare Sauce,,16,16,1900,1963,0,0.15
